k E
0.5395 -13.3816
0.5455 -13.3817
0.5514 -13.3816

0.0000 -13.3805
0.0042 -13.3804
0.0084 -13.3804
0.0126 -13.3804
0.0168 -13.3805
0.0210 -13.3805
0.0252 -13.3805
0.0294 -13.3805
0.0336 -13.3805
0.0378 -13.3805
0.0420 -13.3805
0.0462 -13.3806
0.0504 -13.3805
0.0546 -13.3805
0.0588 -13.3806
0.0630 -13.3806
0.0672 -13.3806
0.0714 -13.3806
0.0756 -13.3807
0.0799 -13.3806
0.0841 -13.3806
0.0883 -13.3806
0.0925 -13.3806
0.0967 -13.3807
0.1009 -13.3807
0.1051 -13.3808
0.1093 -13.3808
0.1135 -13.3809
0.1177 -13.3810
0.1219 -13.3810
0.1261 -13.3810
0.1303 -13.3812
0.1345 -13.3812
0.1387 -13.3813
0.1429 -13.3813
0.1471 -13.3814
0.1513 -13.3814
0.1555 -13.3815
0.1597 -13.3814
0.1639 -13.3814
0.1681 -13.3814
0.1740 -13.3814
0.1800 -13.3814
0.1859 -13.3814
0.1919 -13.3814
0.1978 -13.3812
0.2038 -13.3811
0.2097 -13.3811
0.2157 -13.3811
0.2216 -13.3811
0.2275 -13.3809
0.2335 -13.3809
0.2394 -13.3808
0.2454 -13.3807
0.2513 -13.3807
0.2573 -13.3805
0.2632 -13.3806
0.2691 -13.3805
0.2751 -13.3805
0.2810 -13.3804
0.2870 -13.3805
0.2943 -13.3805
0.3015 -13.3805
0.3088 -13.3806
0.3161 -13.3806
0.3234 -13.3808
0.3306 -13.3809
0.3379 -13.3812
0.3452 -13.3813
0.3525 -13.3814
0.3598 -13.3812
0.3670 -13.3815
0.3743 -13.3816
0.3816 -13.3817
0.3889 -13.3818
0.3962 -13.3819
0.4034 -13.3820
0.4107 -13.3820
0.4180 -13.3821
0.4253 -13.3819
0.4326 -13.3819
0.4385 -13.3819
0.4444 -13.3820
0.4504 -13.3820
0.4563 -13.3819
0.4623 -13.3818
0.4682 -13.3819
0.4742 -13.3818
0.4801 -13.3816
0.4860 -13.3815
0.4920 -13.3814
0.4979 -13.3812
0.5039 -13.3811
0.5098 -13.3811
0.5158 -13.3810
0.5217 -13.3808
0.5277 -13.3808
0.5336 -13.3807
0.5395 -13.3807
0.5455 -13.3807
0.5514 -13.3806

0.0000 -11.2904
0.0042 -11.2898
0.0084 -11.2879
0.0126 -11.2848
0.0168 -11.2804
0.0210 -11.2748
0.0252 -11.2680
0.0294 -11.2599
0.0336 -11.2506
0.0378 -11.2401
0.0420 -11.2285
0.0462 -11.2157
0.0504 -11.2020
0.0546 -11.1874
0.0588 -11.1721
0.0630 -11.1565
0.0672 -11.1410
0.0714 -11.1263
0.0756 -11.1137
0.0799 -11.1048
0.0841 -11.1016
0.0883 -11.1011
0.0925 -11.0998
0.0967 -11.0975
0.1009 -11.0943
0.1051 -11.0902
0.1093 -11.0851
0.1135 -11.0792
0.1177 -11.0723
0.1219 -11.0645
0.1261 -11.0558
0.1303 -11.0462
0.1345 -11.0357
0.1387 -11.0243
0.1429 -11.0122
0.1471 -10.9994
0.1513 -10.9861
0.1555 -10.9726
0.1597 -10.9595
0.1639 -10.9487
0.1681 -10.9440
0.1740 -10.9542
0.1800 -10.9754
0.1859 -11.0000
0.1919 -11.0257
0.1978 -11.0517
0.2038 -11.0776
0.2097 -11.1030
0.2157 -11.1277
0.2216 -11.1514
0.2275 -11.1738
0.2335 -11.1947
0.2394 -11.2139
0.2454 -11.2312
0.2513 -11.2465
0.2573 -11.2597
0.2632 -11.2707
0.2691 -11.2793
0.2751 -11.2854
0.2810 -11.2892
0.2870 -11.2904
0.2943 -11.2885
0.3015 -11.2830
0.3088 -11.2738
0.3161 -11.2611
0.3234 -11.2452
0.3306 -11.2262
0.3379 -11.2046
0.3452 -11.1807
0.3525 -11.1551
0.3598 -11.1282
0.3670 -11.1007
0.3743 -11.0733
0.3816 -11.0466
0.3889 -11.0214
0.3962 -10.9985
0.4034 -10.9786
0.4107 -10.9624
0.4180 -10.9503
0.4253 -10.9429
0.4326 -10.9404
0.4385 -10.9415
0.4444 -10.9447
0.4504 -10.9500
0.4563 -10.9571
0.4623 -10.9659
0.4682 -10.9761
0.4742 -10.9873
0.4801 -10.9994
0.4860 -11.0119
0.4920 -11.0246
0.4979 -11.0371
0.5039 -11.0491
0.5098 -11.0604
0.5158 -11.0706
0.5217 -11.0797
0.5277 -11.0874
0.5336 -11.0935
0.5395 -11.0980
0.5455 -11.1007
0.5514 -11.1016

0.0000 -10.6615
0.0042 -10.6627
0.0084 -10.6662
0.0126 -10.6721
0.0168 -10.6802
0.0210 -10.6905
0.0252 -10.7028
0.0294 -10.7171
0.0336 -10.7330
0.0378 -10.7506
0.0420 -10.7695
0.0462 -10.7895
0.0504 -10.8104
0.0546 -10.8317
0.0588 -10.8533
0.0630 -10.8745
0.0672 -10.8949
0.0714 -10.9134
0.0756 -10.9288
0.0799 -10.9394
0.0841 -10.9433
0.0883 -10.9433
0.0925 -10.9433
0.0967 -10.9433
0.1009 -10.9433
0.1051 -10.9434
0.1093 -10.9434
0.1135 -10.9435
0.1177 -10.9435
0.1219 -10.9436
0.1261 -10.9436
0.1303 -10.9437
0.1345 -10.9437
0.1387 -10.9438
0.1429 -10.9438
0.1471 -10.9439
0.1513 -10.9439
0.1555 -10.9439
0.1597 -10.9440
0.1639 -10.9440
0.1681 -10.9440
0.1740 -10.9423
0.1800 -10.9372
0.1859 -10.9288
